"","zip","family_size","income_limit","year"
"368","130","8",44618.1818181818,"2017"
"369","130","9",51310.9090909091,"2017"
"370","130","10",59007.5454545454,"2017"
"371","130","11",67858.6772727272,"2017"
"372","130","NoAnswer",1,"2017"
"373","131","1",23313.6363636364,"2017"
"374","131","2",26627.2727272727,"2017"
"375","131","3",29968.1818181818,"2017"
"376","131","4",33272.7272727273,"2017"
"377","131","5",35954.5454545455,"2017"
"378","131","6",38609.0909090909,"2017"
"379","131","7",41281.8181818182,"2017"
"380","131","8",43936.3636363636,"2017"
"381","131","9",50526.8181818182,"2017"
"382","131","10",58105.8409090909,"2017"
"383","131","11",66821.7170454545,"2017"
"384","131","NoAnswer",1,"2017"
"385","132","1",23800,"2017"
"386","132","2",27200,"2017"
"387","132","3",30600,"2017"
"388","132","4",34000,"2017"
"389","132","5",36750,"2017"
"390","132","6",39450,"2017"
"391","132","7",42200,"2017"
"392","132","8",44900,"2017"
"393","132","9",51635,"2017"
"394","132","10",59380.25,"2017"
"395","132","11",68287.2875,"2017"
"396","132","NoAnswer",1,"2017"
"397","133","1",25278.125,"2017"
"398","133","2",28878.125,"2017"
"399","133","3",32500,"2017"
"400","133","4",36090.625,"2017"
"401","133","5",38990.625,"2017"
"402","133","6",41875,"2017"
"403","133","7",44765.625,"2017"
"404","133","8",47650,"2017"
"405","133","9",54797.5,"2017"
"406","133","10",63017.125,"2017"
"407","133","11",72469.69375,"2017"
"408","133","NoAnswer",1,"2017"
"409","134","1",23719.2307692308,"2017"
"410","134","2",27092.3076923077,"2017"
"411","134","3",30492.3076923077,"2017"
"412","134","4",33861.5384615385,"2017"
"413","134","5",36580.7692307692,"2017"
"414","134","6",39284.6153846154,"2017"
"415","134","7",42000,"2017"
"416","134","8",44703.8461538462,"2017"
"417","134","9",51409.4230769231,"2017"
"418","134","10",59120.8365384615,"2017"
"419","134","11",67988.9620192307,"2017"
"420","134","NoAnswer",1,"2017"
"421","135","1",23933.3333333333,"2017"
"422","135","2",27333.3333333333,"2017"
"423","135","3",30766.6666666667,"2017"
"424","135","4",34166.6666666667,"2017"
"425","135","5",36900,"2017"
"426","135","6",39633.3333333333,"2017"
"427","135","7",42366.6666666667,"2017"
"428","135","8",45100,"2017"
"429","135","9",51865,"2017"
"430","135","10",59644.75,"2017"
